article,best_available_tier,rendered_tier_before,rendered_tier_after,action,at_best_tier,source_file
ijs/content/1/1/35,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/1/1/45,tier4-stub,tier4-stub,tier4-stub,stub,yes,html/7a5e2819d06e8962e3283a7ebb6a3e1a719174af.00027307.html
ijs/content/1/3/135,tier4-stub,tier4-stub,tier4-stub,stub,yes,html/17eb1108ab6f28cb79626ce2fcc31d49987091a6.00027309.html
ijs/content/10/2/80,tier2-pdf,missing,tier2-pdf(pdf only),summarized-pdf,no,binary/d63ff6b1c3fe5768fdda2616d38e20c253b577d5.00027306.pdf
ijs/content/12/4/161,tier3-abstract,missing,tier3-abstract,abstract,yes,html/55b33250cd28b82ba44ae41636e1ae60be92fcfe.00003299.html
ijs/content/13/2/69,tier4-stub,tier4-stub,tier4-stub,stub,yes,html/4337d2fa6e6044fde46985006062b62777f0a58a.00027310.html
ijs/content/13/3/139,tier4-stub,tier4-stub,tier4-stub,stub,yes,html/c5eeb769d774101ec8d105c9d08eea6139d3d80c.00027311.html
ijs/content/14/2/69,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/bb68f7ac7c2f37bb370916cffb921bbad2f8cbe9.00027312.html
ijs/content/16/1/1,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/983d962d2d505d7aed4a4e668718df8ec0ab3a4c.00027313.html
ijs/content/16/2/151,tier3-abstract,missing,tier3-abstract,abstract,yes,html/53080cee54e450aa42068c9d31f4aa8844c07692.00003300.html
ijs/content/16/2/161,tier4-stub,tier4-stub,tier4-stub,stub,yes,
ijs/content/16/2/173,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/11cdb382cc2a9e755f97b5c5ee3dbea5baa10279.00027315.html
ijs/content/16/3/309,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/007a693fc2ee6e819a7daf6de22559878604e1d4.00027316.html
ijs/content/16/3/313,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/dff96af7852da398b9ad01592570291d46fd0bb4.00003301.html
ijs/content/16/3/341,tier4-stub,tier4-stub,tier4-stub,stub,yes,html/cc376b2936046f2f2adde91758aacedfd37bec85.00027322.html
ijs/content/17/2/127,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/17/3/273,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/17/4/343,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/17/4/361,tier2-pdf,missing,tier2-pdf(pdf only),summarized-pdf,no,binary/6bc13356da82e3eee32c8a8ef65bfb8f97cf4df6.00017993.pdf
ijs/content/18/3/191,tier4-stub,tier4-stub,tier4-stub,stub,yes,html/4ea0336ac3991dcd0b368313528bf99180ae8a16.00027326.html
