URL,exists,canonical-OK,links-OK,seo-OK,content-OK,source
http://ijs.sgmjournals.org/,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/alerts/ctalert?alertType=citedby&addAlert=cited_by&saveAlert=no&cited_by_criteria_resid=ijs;47/2/453&return_type=article&return_url=http%3A%2F%2Fijs.sgmjournals.org%2Fcgi%2Fcontent%2Fabstract%2F47%2F2%2F453,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/alerts/ctalert?alertType=citedby&addAlert=cited_by&saveAlert=no&cited_by_criteria_resid=ijs;53/4/1195&return_type=article&return_url=http%3A%2F%2Fijs.sgmjournals.org%2Fcgi%2Fcontent%2Ffull%2F53%2F4%2F1195,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/alerts/ctalert?alertType=correction&addAlert=correction&saveAlert=no&correction_criteria_value=47/2/453&return_type=article&return_url=http%3A%2F%2Fijs.sgmjournals.org%2Fcgi%2Fcontent%2Fabstract%2F47%2F2%2F453,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/alerts/ctalert?alertType=correction&addAlert=correction&saveAlert=no&correction_criteria_value=53/4/1195&return_type=article&return_url=http%3A%2F%2Fijs.sgmjournals.org%2Fcgi%2Fcontent%2Ffull%2F53%2F4%2F1195,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/alerts/etoc,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/citemap?id=ijs;47/2/453,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/citmgr?gca=ijs;47/2/453,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/18/4/279,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/21/3/254,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/22/3/139,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/27/4/355,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/28/2/154,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/31/4/477,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/32/1/48,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/32/3/339,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/32/4/416,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/33/3/656,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/33/4/751,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/33/4/887,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/34/1/1,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/34/2/107,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/34/4/496,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/35/2/223,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/35/3/309,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/36/3/396,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/37/1/19,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/37/2/102,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/37/3/198,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/37/4/465,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/38/4/375,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/38/4/392,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/39/3/295,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/39/3/346,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/39/4/397,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/39/4/471?maxtoshow=&HITS=10&hits=10&RESULTFORMAT=&searchid=1&FIRSTINDEX=0&sortspec=relevance&volume=39&firstpage=471&resourcetype=HWCIT,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/40/3/236,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/42/2/234,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/42/2/246,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/42/2/252?maxtoshow=&HITS=10&hits=10&RESULTFORMAT=1&title=identification+of+klebsiella+pneumoniae&andorexacttitle=and&andorexacttitleabs=and&andorexactfulltext=and&searchid=1&FIRSTINDEX=0&sortspec=relevance&resourcetype=HWCIT,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/42/2/263,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/42/3/390,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/42/3/398,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/43/2/305,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/43/2/347,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/43/2/374,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/43/3/461,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/43/4/694?maxtoshow=&HITS=10&hits=10&RESULTFORMAT=&andorexactfulltext=and&searchid=1&FIRSTINDEX=0&sortspec=relevance&volume=43&firstpage=694&resourcetype=HWCIT,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/44/1/1,yes,yes,yes,yes,yes,generated
http://ijs.sgmjournals.org/cgi/content/abstract/44/3/454,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/44/4/620,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/44/4/715,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/45/1/116,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/45/1/186,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/45/1/29,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/45/4/798,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/45/4/798%7C,yes,yes,yes,yes,yes,redirect
http://ijs.sgmjournals.org/cgi/content/abstract/45/4/798|,yes,yes,yes,yes,yes,redirect
http://ijs.sgmjournals.org/cgi/content/abstract/46/1/160,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/1/216,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/1/234,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/1/337,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/1/64,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/4/1010,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/4/1164,yes,yes,yes,yes,yes,archive
http://ijs.sgmjournals.org/cgi/content/abstract/46/4/939?maxtoshow=&HITS=10&hits=10&RESULTFORMAT=&fulltext=Proposal+for+Two+New+Genera%2C+Brevibacillus+gen.+nov.+and+Aneurinibacillus+&searchid=1&FIRSTINDEX=0&sortspec=relevance&resourcetype=HWCIT,yes,yes,yes,yes,yes,archive
