url,type,reason
"https://www.sgmjournals.org/www/",journal-home,not-in-archive
"https://www.sgmjournals.org/ijs/content/17/3/267",article-pdf,not-in-archive
"https://www.sgmjournals.org/jgv/content/journal/jgv/10.1099/vir.0.82858-0",article,not-in-archive
"https://www.sgmjournals.org/mic/content/139/4/821",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/mic.0.066308-0",article-pdf,not-in-archive
"https://www.sgmjournals.org/ijs/content/5/2/67",article-pdf,not-in-archive
"https://www.sgmjournals.org/ijs/content/58/7/1746",article-full,not-in-archive
"https://www.sgmjournals.org/mic/content/25/1/87",article-abstract,not-in-archive
"https://www.sgmjournals.org/vir/search",other,not-in-archive
"https://www.sgmjournals.org/mic/search",other,not-in-archive
"https://www.sgmjournals.org/vir/content/90/6/1539",article,not-in-archive
"https://www.sgmjournals.org/mic/content/140/11/3109",article-abstract,not-in-archive
"https://www.sgmjournals.org/mic/content/16/1/286",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/71/2/409",article-pdf,not-in-archive
"https://www.sgmjournals.org/ijs/content/26/4/545",article-pdf,not-in-archive
"https://www.sgmjournals.org/ijs/content/journal/ijsem/10.1099/00207713-52-2-297",article,not-in-archive
"https://www.sgmjournals.org/ijs/content/28/2/311",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/3/2/211",article-pdf,not-in-archive
"https://www.sgmjournals.org/ijs/content/23/1/62",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/help/",other,not-in-archive
"https://www.sgmjournals.org/jmm/help/",other,not-in-archive
"https://www.sgmjournals.org/jmm/content/28/4/291",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/9/3/385",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/79/1/135",article-abstract,not-in-archive
"https://www.sgmjournals.org/ijsb/content/17/3/267",article-pdf,not-in-archive
"https://www.sgmjournals.org/vir/content/91/8/2080",article,not-in-archive
"https://www.sgmjournals.org/www/content/52/6/1945",article-abstract,not-in-archive
"https://www.sgmjournals.org/jmm/help/slow.dtl",info-page,not-in-archive
"https://www.sgmjournals.org/vir/cgi/ijlink",other,not-in-archive
"https://www.sgmjournals.org/ijs/content/38/4/392",article,not-in-archive
"https://www.sgmjournals.org/www/help/slow.dtl",info-page,not-in-archive
"https://www.sgmjournals.org/www/subscriptions/trial.shtml",subscriptions,not-in-archive
"https://www.sgmjournals.org/mic/content/128/10/2469",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/129/6/1929",article-pdf,not-in-archive
"https://www.sgmjournals.org/mic/content/26/2/267",article-pdf,not-in-archive
